,나이,확진자 수,사망자 수,날짜,날짜_dt
0,10대 미만,3124756,37.0,2023-04-20,2023-04-20
1,10대,3861327,23.0,2023-04-20,2023-04-20
2,20대,4522818,80.0,2023-04-20,2023-04-20
3,30대,4547212,160.0,2023-04-20,2023-04-20
4,40대,4726618,469.0,2023-04-20,2023-04-20
5,50대,4054432,1408.0,2023-04-20,2023-04-20
6,60대,3395022,3912.0,2023-04-20,2023-04-20
7,70대,1742796,7802.0,2023-04-20,2023-04-20
8,80대 이상,1064882,20510.0,2023-04-20,2023-04-20
9,10대 미만,3124146,37.0,2023-04-19,2023-04-19
10,10대,3859949,23.0,2023-04-19,2023-04-19
11,20대,4520820,80.0,2023-04-19,2023-04-19
12,30대,4544888,160.0,2023-04-19,2023-04-19
13,40대,4724587,469.0,2023-04-19,2023-04-19
14,50대,4052506,1408.0,2023-04-19,2023-04-19
15,60대,3393078,3912.0,2023-04-19,2023-04-19
16,70대,1741685,7800.0,2023-04-19,2023-04-19
17,80대 이상,1064110,20503.0,2023-04-19,2023-04-19
18,10대 미만,3123452,37.0,2023-04-18,2023-04-18
19,10대,3858310,23.0,2023-04-18,2023-04-18
20,20대,4518361,80.0,2023-04-18,2023-04-18
21,30대,4542199,160.0,2023-04-18,2023-04-18
22,40대,4722238,469.0,2023-04-18,2023-04-18
23,50대,4050304,1408.0,2023-04-18,2023-04-18
24,60대,3390947,3912.0,2023-04-18,2023-04-18
25,70대,1740320,7798.0,2023-04-18,2023-04-18
26,80대 이상,1063130,20499.0,2023-04-18,2023-04-18
27,10대 미만,3122812,37.0,2023-04-17,2023-04-17
28,10대,3856757,23.0,2023-04-17,2023-04-17
29,20대,4516145,80.0,2023-04-17,2023-04-17
30,30대,4539540,160.0,2023-04-17,2023-04-17
31,40대,4719766,469.0,2023-04-17,2023-04-17
32,50대,4048311,1406.0,2023-04-17,2023-04-17
33,60대,3389184,3911.0,2023-04-17,2023-04-17
34,70대,1739145,7796.0,2023-04-17,2023-04-17
35,80대 이상,1062428,20494.0,2023-04-17,2023-04-17
36,10대 미만,3122074,37.0,2023-04-15,2023-04-15
37,10대,3855268,23.0,2023-04-15,2023-04-15
38,20대,4514014,80.0,2023-04-15,2023-04-15
39,30대,4537070,160.0,2023-04-15,2023-04-15
40,40대,4717548,469.0,2023-04-15,2023-04-15
41,50대,4046266,1406.0,2023-04-15,2023-04-15
42,60대,3387189,3911.0,2023-04-15,2023-04-15
43,70대,1737924,7794.0,2023-04-15,2023-04-15
44,80대 이상,1061601,20488.0,2023-04-15,2023-04-15
45,10대 미만,3121607,37.0,2023-04-14,2023-04-14
46,10대,3854131,23.0,2023-04-14,2023-04-14
47,20대,4512459,80.0,2023-04-14,2023-04-14
48,30대,4535379,160.0,2023-04-14,2023-04-14
49,40대,4715927,469.0,2023-04-14,2023-04-14
50,50대,4044737,1406.0,2023-04-14,2023-04-14
51,60대,3385629,3911.0,2023-04-14,2023-04-14
52,70대,1736931,7794.0,2023-04-14,2023-04-14
53,80대 이상,1060892,20486.0,2023-04-14,2023-04-14
54,10대 미만,3121080,37.0,2023-04-13,2023-04-13
55,10대,3852976,23.0,2023-04-13,2023-04-13
56,20대,4510732,80.0,2023-04-13,2023-04-13
57,30대,4533548,160.0,2023-04-13,2023-04-13
58,40대,4714230,469.0,2023-04-13,2023-04-13
59,50대,4043267,1406.0,2023-04-13,2023-04-13
60,60대,3384001,3910.0,2023-04-13,2023-04-13
61,70대,1735930,7794.0,2023-04-13,2023-04-13
62,80대 이상,1060262,20482.0,2023-04-13,2023-04-13
63,10대 미만,3120607,37.0,2023-04-12,2023-04-12
64,10대,3851616,23.0,2023-04-12,2023-04-12
65,20대,4508958,80.0,2023-04-12,2023-04-12
66,30대,4531730,160.0,2023-04-12,2023-04-12
67,40대,4712545,468.0,2023-04-12,2023-04-12
68,50대,4041770,1406.0,2023-04-12,2023-04-12
69,60대,3382508,3910.0,2023-04-12,2023-04-12
70,70대,1735033,7793.0,2023-04-12,2023-04-12
71,80대 이상,1059663,20479.0,2023-04-12,2023-04-12
72,10대 미만,3120021,37.0,2023-04-11,2023-04-11
73,10대,3850041,23.0,2023-04-11,2023-04-11
74,20대,4506753,80.0,2023-04-11,2023-04-11
75,30대,4529527,160.0,2023-04-11,2023-04-11
76,40대,4710522,468.0,2023-04-11,2023-04-11
77,50대,4040014,1406.0,2023-04-11,2023-04-11
78,60대,3380780,3906.0,2023-04-11,2023-04-11
79,70대,1733936,7788.0,2023-04-11,2023-04-11
80,80대 이상,1058910,20474.0,2023-04-11,2023-04-11
81,10대 미만,3119483,37.0,2023-04-10,2023-04-10
82,10대,3848615,23.0,2023-04-10,2023-04-10
83,20대,4504874,80.0,2023-04-10,2023-04-10
84,30대,4527434,160.0,2023-04-10,2023-04-10
85,40대,4708570,468.0,2023-04-10,2023-04-10
86,50대,4038361,1405.0,2023-04-10,2023-04-10
87,60대,3379339,3902.0,2023-04-10,2023-04-10
88,70대,1732992,7787.0,2023-04-10,2023-04-10
89,80대 이상,1058392,20470.0,2023-04-10,2023-04-10
