,성별,확진자 수,사망자 수,날짜,날짜_dt
0,여성,16675658,17453.0,2023-04-20,2023-04-20
1,남성,14364205,16948.0,2023-04-20,2023-04-20
2,여성,16667568,17448.0,2023-04-19,2023-04-19
3,남성,14358201,16944.0,2023-04-19,2023-04-19
4,여성,16658217,17446.0,2023-04-18,2023-04-18
5,남성,14351044,16940.0,2023-04-18,2023-04-18
6,여성,16649767,17441.0,2023-04-17,2023-04-17
7,남성,14344321,16935.0,2023-04-17,2023-04-17
8,여성,16641294,17437.0,2023-04-15,2023-04-15
9,남성,14337660,16931.0,2023-04-15,2023-04-15
10,여성,16634861,17437.0,2023-04-14,2023-04-14
11,남성,14332831,16929.0,2023-04-14,2023-04-14
12,여성,16628154,17434.0,2023-04-13,2023-04-13
13,남성,14327872,16927.0,2023-04-13,2023-04-13
14,여성,16621444,17432.0,2023-04-12,2023-04-12
15,남성,14322986,16924.0,2023-04-12,2023-04-12
16,여성,16613379,17426.0,2023-04-11,2023-04-11
17,남성,14317125,16916.0,2023-04-11,2023-04-11
18,여성,16606292,17423.0,2023-04-10,2023-04-10
19,남성,14311768,16909.0,2023-04-10,2023-04-10
20,여성,16598567,17419.0,2023-04-08,2023-04-08
21,남성,14305935,16903.0,2023-04-08,2023-04-08
22,여성,16592733,17417.0,2023-04-07,2023-04-07
23,남성,14301826,16901.0,2023-04-07,2023-04-07
24,여성,16586566,17415.0,2023-04-06,2023-04-06
25,남성,14297258,16894.0,2023-04-06,2023-04-06
26,여성,16579675,17408.0,2023-04-05,2023-04-05
27,남성,14292065,16888.0,2023-04-05,2023-04-05
28,여성,16571458,17405.0,2023-04-04,2023-04-04
29,남성,14285817,16884.0,2023-04-04,2023-04-04
30,여성,16563894,17401.0,2023-04-03,2023-04-03
31,남성,14280006,16880.0,2023-04-03,2023-04-03
32,여성,16555949,17394.0,2023-04-01,2023-04-01
33,남성,14273878,16876.0,2023-04-01,2023-04-01
34,여성,16550372,17391.0,2023-03-31,2023-03-31
35,남성,14269758,16874.0,2023-03-31,2023-03-31
36,여성,16544455,17384.0,2023-03-30,2023-03-30
37,남성,14265307,16871.0,2023-03-30,2023-03-30
38,여성,16538049,17380.0,2023-03-29,2023-03-29
39,남성,14260674,16865.0,2023-03-29,2023-03-29
40,여성,16530598,17369.0,2023-03-28,2023-03-28
41,남성,14254991,16862.0,2023-03-28,2023-03-28
42,여성,16523860,17365.0,2023-03-27,2023-03-27
43,남성,14249600,16858.0,2023-03-27,2023-03-27
44,여성,16516201,17361.0,2023-03-25,2023-03-25
45,남성,14243694,16856.0,2023-03-25,2023-03-25
46,여성,16510392,17358.0,2023-03-24,2023-03-24
47,남성,14239348,16853.0,2023-03-24,2023-03-24
48,여성,16504636,17350.0,2023-03-23,2023-03-23
49,남성,14234821,16851.0,2023-03-23,2023-03-23
50,여성,16498298,17344.0,2023-03-22,2023-03-22
51,남성,14229759,16843.0,2023-03-22,2023-03-22
52,여성,16490964,17341.0,2023-03-21,2023-03-21
53,남성,14224012,16837.0,2023-03-21,2023-03-21
54,여성,16484399,17336.0,2023-03-20,2023-03-20
55,남성,14218561,16835.0,2023-03-20,2023-03-20
56,여성,16482227,0.0,2023-03-20,2023-03-20
57,남성,14216803,0.0,2023-03-20,2023-03-20
58,여성,16477251,17329.0,2023-03-18,2023-03-18
59,남성,14212972,16830.0,2023-03-18,2023-03-18
60,여성,16472168,17327.0,2023-03-17,2023-03-17
61,남성,14209060,16828.0,2023-03-17,2023-03-17
62,여성,16467065,17326.0,2023-03-16,2023-03-16
63,남성,14205098,16822.0,2023-03-16,2023-03-16
64,여성,16461479,17320.0,2023-03-15,2023-03-15
65,남성,14200750,16811.0,2023-03-15,2023-03-15
66,여성,16454863,17316.0,2023-03-14,2023-03-14
67,남성,14195467,16805.0,2023-03-14,2023-03-14
68,여성,16448579,17311.0,2023-03-13,2023-03-13
69,남성,14190350,16804.0,2023-03-13,2023-03-13
70,여성,16446302,0.0,2023-03-13,2023-03-13
71,남성,14188429,0.0,2023-03-13,2023-03-13
72,여성,16441034,17304.0,2023-03-11,2023-03-11
73,남성,14184355,16792.0,2023-03-11,2023-03-11
74,여성,16435596,17301.0,2023-03-10,2023-03-10
75,남성,14179926,16792.0,2023-03-10,2023-03-10
76,여성,16429804,17298.0,2023-03-09,2023-03-09
77,남성,14175383,16783.0,2023-03-09,2023-03-09
78,여성,16423663,17290.0,2023-03-08,2023-03-08
79,남성,14170634,16771.0,2023-03-08,2023-03-08
80,여성,16416552,17284.0,2023-03-07,2023-03-07
81,남성,14164947,16765.0,2023-03-07,2023-03-07
82,여성,16409789,17280.0,2023-03-06,2023-03-06
83,남성,14159426,16754.0,2023-03-06,2023-03-06
84,여성,16401951,17275.0,2023-03-04,2023-03-04
85,남성,14153151,16745.0,2023-03-04,2023-03-04
86,여성,16395694,17272.0,2023-03-03,2023-03-03
87,남성,14148287,16742.0,2023-03-03,2023-03-03
88,여성,16389821,17267.0,2023-03-02,2023-03-02
89,남성,14143752,16736.0,2023-03-02,2023-03-02
90,여성,16385549,17256.0,2023-03-01,2023-03-01
91,남성,14140463,16732.0,2023-03-01,2023-03-01
92,여성,16378614,17251.0,2023-02-28,2023-02-28
93,남성,14135107,16726.0,2023-02-28,2023-02-28
94,여성,16372637,17245.0,2023-02-27,2023-02-27
95,남성,14130267,16716.0,2023-02-27,2023-02-27
96,여성,16365194,17237.0,2023-02-25,2023-02-25
97,남성,14124472,16703.0,2023-02-25,2023-02-25
98,여성,16359564,17231.0,2023-02-24,2023-02-24
99,남성,14120189,16698.0,2023-02-24,2023-02-24
100,여성,16353892,17219.0,2023-02-23,2023-02-23
101,남성,14115810,16690.0,2023-02-23,2023-02-23
102,여성,16347723,17204.0,2023-02-22,2023-02-22
103,남성,14111134,16683.0,2023-02-22,2023-02-22
104,여성,16340437,17195.0,2023-02-21,2023-02-21
105,남성,14105338,16678.0,2023-02-21,2023-02-21
106,여성,16333898,17192.0,2023-02-20,2023-02-20
107,남성,14099997,16673.0,2023-02-20,2023-02-20
108,여성,16331588,17187.0,2023-02-19,2023-02-19
109,남성,14097983,16669.0,2023-02-19,2023-02-19
110,여성,16325837,17181.0,2023-02-18,2023-02-18
111,남성,14093460,16663.0,2023-02-18,2023-02-18
112,여성,16319849,17176.0,2023-02-17,2023-02-17
113,남성,14088807,16656.0,2023-02-17,2023-02-17
114,여성,16313419,17163.0,2023-02-16,2023-02-16
115,남성,14083801,16641.0,2023-02-16,2023-02-16
116,여성,16306315,17153.0,2023-02-15,2023-02-15
117,남성,14078386,16629.0,2023-02-15,2023-02-15
118,여성,16297984,17146.0,2023-02-14,2023-02-14
119,남성,14071760,16612.0,2023-02-14,2023-02-14
120,여성,16290170,17143.0,2023-02-13,2023-02-13
121,남성,14065203,16604.0,2023-02-13,2023-02-13
122,여성,16287419,17137.0,2023-02-12,2023-02-12
123,남성,14062780,16599.0,2023-02-12,2023-02-12
124,여성,16280659,17124.0,2023-02-11,2023-02-11
125,남성,14057489,16589.0,2023-02-11,2023-02-11
126,여성,16273548,17121.0,2023-02-10,2023-02-10
127,남성,14051935,16576.0,2023-02-10,2023-02-10
128,여성,16266061,17114.0,2023-02-09,2023-02-09
129,남성,14045918,16566.0,2023-02-09,2023-02-09
130,여성,16257844,17099.0,2023-02-08,2023-02-08
131,남성,14039471,16547.0,2023-02-08,2023-02-08
132,여성,16248006,17090.0,2023-02-07,2023-02-07
133,남성,14031375,16534.0,2023-02-07,2023-02-07
134,여성,16239325,17085.0,2023-02-06,2023-02-06
135,남성,14023936,16529.0,2023-02-06,2023-02-06
136,여성,16236218,17080.0,2023-02-05,2023-02-05
137,남성,14021193,16516.0,2023-02-05,2023-02-05
